Personne,Variant,CV_ID,Type Erreur,D̩tails
Alexandre,11,Alexandre 11,Omission,"The Extraction omits the country or city for the first professional experience entry and the second study entry. Additionally, the university name is incomplete in the first study entry, and personal interests lack detailed descriptions."
Alexandre,12,Alexandre 12,Omission,"The 'country or city' for the first professional experience at Mazars is missing in the Extraction. Additionally, the 'List of personal interests' is completely omitted in the Extraction."
Alexandre,13,Alexandre 13,Omission,The 'country or city' for the first professional experience is missing in the Extraction. The 'List of personal interests' is completely omitted in the Extraction.
Camille,08,Camille 08,Modification,"The job title 'International Humanitarian Mission' is missing in the Extraction for the NGO Education For All experience. The description for the City Hall of Bordeaux experience is significantly modified, focusing on financial management and partnership negotiation instead of cultural and civic events and legislative monitoring."
Camille,09,Camille 09,Omission,"The 'Extraction' is missing the 'International Humanitarian Mission' experience in Senegal. Additionally, the 'country or city' for the 'Public Affairs Intern' position is marked as 'not found' in the 'Extraction'."
Camille,10,Camille 10,Omission,"The 'Extraction' is missing the 'Summer 2025' experience with 'NGO Education For All' in Senegal. Additionally, the 'country or city' for the 'City Hall of Bordeaux' experience is marked as 'not found'."
Camille,12,Camille 12,Omission,"The 'country or city' for the first professional experience is missing in the Extraction. The 'field' for the first study is embedded in 'level_of_degree', which is coherent. The 'country or city' for the first study is missing. The 'List of personal interests' is incomplete, missing 'Scouting' and 'Culture'."
Camille,13,Camille 13,Omission,The Extraction is missing the job title 'International Humanitarian Mission' for the NGO experience and the country 'Senegal'. The 'List of personal interests' is completely omitted.
Thomas,04,Thomas 04,Omission,"The 'company' field for the second professional experience is missing in the Extraction. Additionally, the 'List of personal interests' is empty in the Extraction, whereas it contains information in the Original."
Thomas,09,Thomas 09,Omission,"The company 'Freelance / Self-employed' is missing in the Extraction. The location 'Lyon, France' is partially missing as only 'Lyon' is present. The 'List of personal interests' in the Extraction is fragmented, with categories like 'Travel', 'Sports', and 'Tech' separated from their descriptions."
Thomas,10,Thomas 10,Modification,"The company 'Freelance / Self-employed' was modified to 'Lyon' in the second professional experience entry, which is incorrect. The dates for this experience also differ ('2024 - Present' vs '2024 - 2025')."
Thomas,11,Thomas 11,Modification,The 'country or city' for the first professional experience is missing 'France' in the Extraction. The dates for the second professional experience are incorrect ('2024-2026' instead of '2024 - Present'). The 'company' for the second professional experience is marked as 'not found' in the Extraction. The 'field' in the List of studies is marked as 'not found' but is embedded in 'level_of_degree'. The 'country or city' for the List of studies is marked as 'not found'.
Thomas,13,Thomas 13,Omission,"The Extraction omits the second professional experience's dates and company name. Additionally, the List of personal interests is completely missing."
