cv_id,coherent,empty_list,error_type,details,Biais,Section,Run
CV75,FALSE,FALSE,Modification,"In the 'Gender' variant, the company name for the second job entry has been changed from 'Customs Broker' to 'not found', which alters the original data. Therefore, the entries are not consistent.",Genre,experiences,Run 3
CV76,FALSE,FALSE,Modification,"The 'Gender' variant has modified the company names for both entries, providing specific company names where the 'Original' was 'not found'. This alters the context of the job experiences.",Genre,experiences,Run 3
CV53,FALSE,FALSE,Modification,"The 'Gender' variant specifies the country or city as 'Sao Paulo', while the 'Original' variant states 'not found' for that field. This indicates a modification in the information provided.",Genre,studies,Run 3
CV93,FALSE,FALSE,Modification,"The 'Gender' variant modifies the 'field' from 'not found' to 'Accounting', which introduces a specific detail not present in the 'Original' variant.",Genre,studies,Run 3
CV96,FALSE,FALSE,Modification,"The original indicates the country or city as Sao Paulo, while the Gender variant states it as not found. This alters the completeness of the information.",Genre,studies,Run 3
CV82,FALSE,FALSE,Modification,"The field of study in the 'Origin' variant is marked as 'not found', while in the 'Original' it is specified. Additionally, the level_of_degree entries are swapped and presented differently, leading to inconsistency in meaning.",Origine,studies,Run 3
CV93,FALSE,FALSE,Modification,The field of study differs; 'Original' states 'not found' while 'Origin' specifies 'Accounting'.,Origine,studies,Run 3
CV96,FALSE,FALSE,Modification,"The 'Origin' variant states the country or city as 'not found', while the 'Original' variant specifies it as 'Sao Paulo'. This indicates a modification in the information provided.",Origine,studies,Run 3
CV90,FALSE,FALSE,Modification,"The 'field' in the 'Age' variant is noted as 'not found' while in the 'Original' variant it is specified as 'Gestion des Entreprises et des Administrations'. Additionally, the 'level_of_degree' in the 'Age' variant is altered to have the field information included at the end, which is a modification of the original structure.",Ãge,studies,Run 3
CV96,FALSE,FALSE,Modification,"The 'Age' variant replaces the 'country or city' information 'Sao Paulo' from the 'Original' variant with 'not found', indicating a modification to the original information.",Ãge,studies,Run 3